V(out)	I(R3)	power	

3.253609e-020	3.253609e+000	1.058597e-019	
3.406947e-020	3.253609e+000	1.108487e-019	
3.567512e-020	3.253609e+000	1.160729e-019	
3.735643e-020	3.253609e+000	1.215432e-019	
3.911699e-020	3.253609e+000	1.272714e-019	
4.096051e-020	3.253609e+000	1.332695e-019	
4.289092e-020	3.253609e+000	1.395503e-019	
4.491231e-020	3.253609e+000	1.461271e-019	
4.702896e-020	3.253609e+000	1.530139e-019	
4.924537e-020	3.253609e+000	1.602252e-019	
5.156623e-020	3.253609e+000	1.677764e-019	
5.399647e-020	3.253609e+000	1.756834e-019	
5.654125e-020	3.253609e+000	1.839631e-019	
5.920596e-020	3.253609e+000	1.926330e-019	
6.199624e-020	3.253609e+000	2.017115e-019	
6.491804e-020	3.253609e+000	2.112179e-019	
6.797753e-020	3.253609e+000	2.211723e-019	
7.118121e-020	3.253609e+000	2.315958e-019	
7.453588e-020	3.253609e+000	2.425106e-019	
7.804865e-020	3.253609e+000	2.539398e-019	
8.172697e-020	3.253609e+000	2.659076e-019	
8.557865e-020	3.253609e+000	2.784395e-019	
8.961184e-020	3.253609e+000	2.915619e-019	
9.383512e-020	3.253609e+000	3.053028e-019	
9.825743e-020	3.253609e+000	3.196913e-019	
1.028882e-019	3.253609e+000	3.347578e-019	
1.077371e-019	3.253609e+000	3.505345e-019	
1.128146e-019	3.253609e+000	3.670547e-019	
1.181314e-019	3.253609e+000	3.843534e-019	
1.236988e-019	3.253609e+000	4.024675e-019	
1.295285e-019	3.253609e+000	4.214352e-019	
1.356330e-019	3.253609e+000	4.412968e-019	
1.420252e-019	3.253609e+000	4.620945e-019	
1.487186e-019	3.253609e+000	4.838723e-019	
1.557275e-019	3.253609e+000	5.066765e-019	
1.630667e-019	3.253609e+000	5.305554e-019	
1.707518e-019	3.253609e+000	5.555598e-019	
1.787991e-019	3.253609e+000	5.817425e-019	
1.872257e-019	3.253609e+000	6.091592e-019	
1.960493e-019	3.253609e+000	6.378679e-019	
2.052889e-019	3.253609e+000	6.679298e-019	
2.149638e-019	3.253609e+000	6.994083e-019	
2.250948e-019	3.253609e+000	7.323704e-019	
2.357032e-019	3.253609e+000	7.668859e-019	
2.468115e-019	3.253609e+000	8.030281e-019	
2.584434e-019	3.253609e+000	8.408738e-019	
2.706234e-019	3.253609e+000	8.805029e-019	
2.833775e-019	3.253609e+000	9.219997e-019	
2.967327e-019	3.253609e+000	9.654522e-019	
3.107173e-019	3.253609e+000	1.010953e-018	
3.253609e-019	3.253609e+000	1.058597e-018	
3.406947e-019	3.253609e+000	1.108487e-018	
3.567512e-019	3.253609e+000	1.160729e-018	
3.735643e-019	3.253609e+000	1.215432e-018	
3.911699e-019	3.253609e+000	1.272714e-018	
4.096051e-019	3.253609e+000	1.332695e-018	
4.289092e-019	3.253609e+000	1.395503e-018	
4.491231e-019	3.253609e+000	1.461271e-018	
4.702896e-019	3.253609e+000	1.530139e-018	
4.924537e-019	3.253609e+000	1.602252e-018	
5.156623e-019	3.253609e+000	1.677764e-018	
5.399647e-019	3.253609e+000	1.756834e-018	
5.654125e-019	3.253609e+000	1.839631e-018	
5.920595e-019	3.253609e+000	1.926330e-018	
6.199625e-019	3.253609e+000	2.017116e-018	
6.491804e-019	3.253609e+000	2.112179e-018	
6.797753e-019	3.253609e+000	2.211723e-018	
7.118121e-019	3.253609e+000	2.315958e-018	
7.453588e-019	3.253609e+000	2.425106e-018	
7.804865e-019	3.253609e+000	2.539398e-018	
8.172697e-019	3.253609e+000	2.659076e-018	
8.557864e-019	3.253609e+000	2.784395e-018	
8.961184e-019	3.253609e+000	2.915619e-018	
9.383512e-019	3.253609e+000	3.053028e-018	
9.825742e-019	3.253609e+000	3.196913e-018	
1.028882e-018	3.253609e+000	3.347579e-018	
1.077371e-018	3.253609e+000	3.505345e-018	
1.128146e-018	3.253609e+000	3.670547e-018	
1.181314e-018	3.253609e+000	3.843534e-018	
1.236988e-018	3.253609e+000	4.024675e-018	
1.295285e-018	3.253609e+000	4.214352e-018	
1.356330e-018	3.253609e+000	4.412968e-018	
1.420252e-018	3.253609e+000	4.620945e-018	
1.487186e-018	3.253609e+000	4.838723e-018	
1.557275e-018	3.253609e+000	5.066765e-018	
1.630667e-018	3.253609e+000	5.305555e-018	
1.707518e-018	3.253609e+000	5.555598e-018	
1.787991e-018	3.253609e+000	5.817425e-018	
1.872257e-018	3.253609e+000	6.091592e-018	
1.960494e-018	3.253609e+000	6.378680e-018	
2.052889e-018	3.253609e+000	6.679297e-018	
2.149638e-018	3.253609e+000	6.994083e-018	
2.250948e-018	3.253609e+000	7.323704e-018	
2.357032e-018	3.253609e+000	7.668859e-018	
2.468115e-018	3.253609e+000	8.030282e-018	
2.584434e-018	3.253609e+000	8.408737e-018	
2.706234e-018	3.253609e+000	8.805029e-018	
2.833775e-018	3.253609e+000	9.219997e-018	
2.967327e-018	3.253609e+000	9.654522e-018	
3.107173e-018	3.253609e+000	1.010953e-017	
3.253609e-018	3.253609e+000	1.058597e-017	
3.406947e-018	3.253609e+000	1.108487e-017	
3.567512e-018	3.253609e+000	1.160729e-017	
3.735643e-018	3.253609e+000	1.215432e-017	
3.911699e-018	3.253609e+000	1.272714e-017	
4.096051e-018	3.253609e+000	1.332695e-017	
4.289092e-018	3.253609e+000	1.395503e-017	
4.491231e-018	3.253609e+000	1.461271e-017	
4.702896e-018	3.253609e+000	1.530139e-017	
4.924537e-018	3.253609e+000	1.602252e-017	
5.156623e-018	3.253609e+000	1.677764e-017	
5.399647e-018	3.253609e+000	1.756834e-017	
5.654125e-018	3.253609e+000	1.839631e-017	
5.920596e-018	3.253609e+000	1.926330e-017	
6.199625e-018	3.253609e+000	2.017116e-017	
6.491804e-018	3.253609e+000	2.112179e-017	
6.797753e-018	3.253609e+000	2.211723e-017	
7.118122e-018	3.253609e+000	2.315959e-017	
7.453588e-018	3.253609e+000	2.425106e-017	
7.804865e-018	3.253609e+000	2.539398e-017	
8.172697e-018	3.253609e+000	2.659076e-017	
8.557864e-018	3.253609e+000	2.784395e-017	
8.961184e-018	3.253609e+000	2.915619e-017	
9.383511e-018	3.253609e+000	3.053028e-017	
9.825743e-018	3.253609e+000	3.196913e-017	
1.028882e-017	3.253609e+000	3.347579e-017	
1.077371e-017	3.253609e+000	3.505345e-017	
1.128146e-017	3.253609e+000	3.670547e-017	
1.181314e-017	3.253609e+000	3.843534e-017	
1.236988e-017	3.253609e+000	4.024675e-017	
1.295285e-017	3.253609e+000	4.214352e-017	
1.356330e-017	3.253609e+000	4.412968e-017	
1.420252e-017	3.253609e+000	4.620945e-017	
1.487186e-017	3.253609e+000	4.838723e-017	
1.557275e-017	3.253609e+000	5.066765e-017	
1.630667e-017	3.253609e+000	5.305555e-017	
1.707518e-017	3.253609e+000	5.555597e-017	
1.787991e-017	3.253609e+000	5.817425e-017	
1.872257e-017	3.253609e+000	6.091591e-017	
1.960493e-017	3.253609e+000	6.378680e-017	
2.052889e-017	3.253609e+000	6.679297e-017	
2.149638e-017	3.253609e+000	6.994083e-017	
2.250948e-017	3.253609e+000	7.323704e-017	
2.357031e-017	3.253609e+000	7.668859e-017	
2.468115e-017	3.253609e+000	8.030282e-017	
2.584434e-017	3.253609e+000	8.408737e-017	
2.706234e-017	3.253609e+000	8.805029e-017	
2.833775e-017	3.253609e+000	9.219997e-017	
2.967327e-017	3.253609e+000	9.654522e-017	
3.107173e-017	3.253609e+000	1.010953e-016	
3.253609e-017	3.253609e+000	1.058597e-016	
3.406947e-017	3.253609e+000	1.108487e-016	
3.567512e-017	3.253609e+000	1.160729e-016	
3.735643e-017	3.253609e+000	1.215432e-016	
3.911699e-017	3.253609e+000	1.272714e-016	
4.096051e-017	3.253609e+000	1.332695e-016	
4.289092e-017	3.253609e+000	1.395503e-016	
4.491231e-017	3.253609e+000	1.461271e-016	
4.702896e-017	3.253609e+000	1.530139e-016	
4.924537e-017	3.253609e+000	1.602252e-016	
5.156623e-017	3.253609e+000	1.677764e-016	
5.399647e-017	3.253609e+000	1.756834e-016	
5.654125e-017	3.253609e+000	1.839631e-016	
5.920596e-017	3.253609e+000	1.926330e-016	
6.199625e-017	3.253609e+000	2.017116e-016	
6.491804e-017	3.253609e+000	2.112179e-016	
6.797753e-017	3.253609e+000	2.211723e-016	
7.118121e-017	3.253609e+000	2.315959e-016	
7.453588e-017	3.253609e+000	2.425106e-016	
7.804865e-017	3.253609e+000	2.539398e-016	
8.172697e-017	3.253609e+000	2.659076e-016	
8.557864e-017	3.253609e+000	2.784395e-016	
8.961184e-017	3.253609e+000	2.915619e-016	
9.383512e-017	3.253609e+000	3.053028e-016	
9.825743e-017	3.253609e+000	3.196913e-016	
1.028882e-016	3.253609e+000	3.347579e-016	
1.077371e-016	3.253609e+000	3.505345e-016	
1.128146e-016	3.253609e+000	3.670547e-016	
1.181314e-016	3.253609e+000	3.843534e-016	
1.236988e-016	3.253609e+000	4.024675e-016	
1.295285e-016	3.253609e+000	4.214352e-016	
1.356330e-016	3.253609e+000	4.412968e-016	
1.420252e-016	3.253609e+000	4.620945e-016	
1.487186e-016	3.253609e+000	4.838723e-016	
1.557275e-016	3.253609e+000	5.066765e-016	
1.630667e-016	3.253609e+000	5.305555e-016	
1.707518e-016	3.253609e+000	5.555597e-016	
1.787991e-016	3.253609e+000	5.817425e-016	
1.872257e-016	3.253609e+000	6.091592e-016	
1.960493e-016	3.253609e+000	6.378680e-016	
2.052889e-016	3.253609e+000	6.679297e-016	
2.149638e-016	3.253609e+000	6.994083e-016	
2.250948e-016	3.253609e+000	7.323704e-016	
2.357031e-016	3.253609e+000	7.668859e-016	
2.468115e-016	3.253609e+000	8.030282e-016	
2.584434e-016	3.253609e+000	8.408737e-016	
2.706234e-016	3.253609e+000	8.805029e-016	
2.833775e-016	3.253609e+000	9.219997e-016	
2.967327e-016	3.253609e+000	9.654522e-016	
3.107173e-016	3.253609e+000	1.010953e-015	
3.253609e-016	3.253609e+000	1.058597e-015	
3.406947e-016	3.253609e+000	1.108487e-015	
3.567512e-016	3.253609e+000	1.160729e-015	
3.735643e-016	3.253609e+000	1.215432e-015	
3.911699e-016	3.253609e+000	1.272714e-015	
4.096051e-016	3.253609e+000	1.332695e-015	
4.289092e-016	3.253609e+000	1.395503e-015	
4.491231e-016	3.253609e+000	1.461271e-015	
4.702896e-016	3.253609e+000	1.530139e-015	
4.924537e-016	3.253609e+000	1.602252e-015	
5.156623e-016	3.253609e+000	1.677764e-015	
5.399647e-016	3.253609e+000	1.756834e-015	
5.654125e-016	3.253609e+000	1.839631e-015	
5.920596e-016	3.253609e+000	1.926330e-015	
6.199625e-016	3.253609e+000	2.017116e-015	
6.491804e-016	3.253609e+000	2.112179e-015	
6.797753e-016	3.253609e+000	2.211723e-015	
7.118121e-016	3.253609e+000	2.315958e-015	
7.453588e-016	3.253609e+000	2.425106e-015	
7.804865e-016	3.253609e+000	2.539398e-015	
8.172697e-016	3.253609e+000	2.659076e-015	
8.557865e-016	3.253609e+000	2.784395e-015	
8.961184e-016	3.253609e+000	2.915619e-015	
9.383511e-016	3.253609e+000	3.053028e-015	
9.825743e-016	3.253609e+000	3.196913e-015	
1.028882e-015	3.253609e+000	3.347579e-015	
1.077371e-015	3.253609e+000	3.505345e-015	
1.128146e-015	3.253609e+000	3.670547e-015	
1.181314e-015	3.253609e+000	3.843534e-015	
1.236988e-015	3.253609e+000	4.024675e-015	
1.295285e-015	3.253609e+000	4.214352e-015	
1.356330e-015	3.253609e+000	4.412968e-015	
1.420252e-015	3.253609e+000	4.620945e-015	
1.487186e-015	3.253609e+000	4.838723e-015	
1.557275e-015	3.253609e+000	5.066765e-015	
1.630667e-015	3.253609e+000	5.305554e-015	
1.707518e-015	3.253609e+000	5.555597e-015	
1.787991e-015	3.253609e+000	5.817425e-015	
1.872257e-015	3.253609e+000	6.091591e-015	
1.960494e-015	3.253609e+000	6.378680e-015	
2.052889e-015	3.253609e+000	6.679298e-015	
2.149638e-015	3.253609e+000	6.994083e-015	
2.250948e-015	3.253609e+000	7.323704e-015	
2.357032e-015	3.253609e+000	7.668860e-015	
2.468115e-015	3.253609e+000	8.030282e-015	
2.584434e-015	3.253609e+000	8.408737e-015	
2.706234e-015	3.253609e+000	8.805029e-015	
2.833775e-015	3.253609e+000	9.219997e-015	
2.967327e-015	3.253609e+000	9.654522e-015	
3.107173e-015	3.253609e+000	1.010953e-014	
3.253609e-015	3.253609e+000	1.058597e-014	
3.406947e-015	3.253609e+000	1.108487e-014	
3.567512e-015	3.253609e+000	1.160729e-014	
3.735643e-015	3.253609e+000	1.215432e-014	
3.911699e-015	3.253609e+000	1.272714e-014	
4.096051e-015	3.253609e+000	1.332695e-014	
4.289092e-015	3.253609e+000	1.395503e-014	
